iter	RMSE
0	8.464948289
1	8.329753224
2	8.190433779
3	8.055275723
4	7.898118661
5	7.764148291
6	7.632336759
7	7.513340641
8	7.391081568
9	7.263409513
10	7.158526819
11	7.038510473
12	6.932974864
13	6.830151347
14	6.713147543
15	6.621409286
16	6.530093953
17	6.428151506
18	6.345416083
19	6.26393792
20	6.167913516
21	6.090937994
22	6.007551372
23	5.92700207
24	5.855740771
25	5.79362973
26	5.709952381
27	5.63659877
28	5.565571951
29	5.500769417
30	5.436310738
31	5.366321522
32	5.302158779
33	5.252048916
34	5.195726789
35	5.135274664
36	5.08300119
37	5.030911151
38	4.986294858
39	4.937518266
40	4.892134859
41	4.848071293
42	4.803166539
43	4.751950921
44	4.723221411
45	4.686651772
46	4.642583931
47	4.600547625
48	4.565608986
49	4.532436945
50	4.506239236
51	4.469248696
52	4.449196718
53	4.412522428
54	4.373812148
55	4.342637643
56	4.315083057
57	4.285780054
58	4.254417102
59	4.222619611
60	4.202602422
61	4.180365653
62	4.159718827
63	4.136765475
64	4.117044998
65	4.086187987
66	4.063167249
67	4.039222417
68	4.017307381
69	3.996876162
70	3.978261605
71	3.959351144
72	3.945310911
73	3.932786767
74	3.908594089
75	3.886436915
76	3.871647291
77	3.850576991
78	3.832048747
79	3.815490218
80	3.794294448
81	3.780002031
82	3.765557759
83	3.744492657
84	3.728395435
85	3.71170722
86	3.69803943
87	3.685086719
88	3.673870466
89	3.657675151
90	3.640509541
91	3.620383695
92	3.608463036
93	3.597161547
94	3.58273183
95	3.567312118
96	3.55406681
97	3.545801616
98	3.538409804
99	3.524331408
100	3.51186739
101	3.496840913
102	3.48261993
103	3.46837451
104	3.459354768
105	3.443994858
106	3.432084808
107	3.42454142
108	3.417208331
109	3.406774134
110	3.401259061
111	3.391592041
112	3.381213543
113	3.371240969
114	3.363753275
115	3.35697841
116	3.346285797
117	3.334880897
118	3.328289968
119	3.323533696
120	3.315787117
121	3.309187673
122	3.29951509
123	3.289609257
124	3.280344747
125	3.275578918
126	3.270313588
127	3.261523477
128	3.252843018
129	3.245962653
130	3.23652346
