iter	Passed	Remaining
0	55	55175
1	55	27914
2	56	18860
3	57	14339
4	58	11654
5	59	9846
6	60	8558
7	61	7585
8	61	6812
9	62	6203
10	63	5704
11	64	5297
12	65	4945
13	66	4667
14	66	4390
15	67	4163
16	68	3975
17	69	3812
18	70	3649
19	71	3507
20	72	3387
21	73	3265
22	74	3148
23	74	3041
24	75	2940
25	76	2849
26	76	2771
27	77	2689
28	78	2615
29	78	2549
30	79	2485
31	80	2430
32	81	2378
33	81	2329
34	82	2283
35	83	2245
36	84	2206
37	85	2160
38	85	2117
39	86	2085
40	87	2050
41	88	2025
42	89	1997
43	90	1969
44	91	1940
45	92	1917
46	93	1891
47	94	1868
48	95	1847
49	96	1825
50	97	1808
51	97	1786
52	98	1767
53	99	1749
54	100	1731
55	101	1711
56	102	1691
57	102	1671
58	104	1659
59	104	1643
60	105	1625
61	106	1610
62	107	1595
63	108	1582
64	109	1568
65	109	1553
66	110	1541
67	111	1527
68	112	1517
69	113	1505
70	114	1492
71	114	1479
72	115	1467
73	116	1455
74	117	1445
75	118	1435
76	118	1425
77	119	1415
78	120	1406
79	121	1397
80	122	1386
81	123	1378
82	124	1372
83	125	1364
84	125	1354
85	126	1346
86	127	1340
87	128	1331
88	129	1325
89	130	1317
90	131	1310
91	131	1302
92	132	1294
93	133	1286
94	134	1279
95	135	1271
96	135	1263
97	136	1256
98	137	1248
99	137	1239
100	138	1232
101	139	1225
102	139	1219
103	141	1217
104	141	1210
105	142	1204
106	143	1196
107	144	1189
108	144	1183
109	145	1176
110	146	1171
111	147	1166
112	147	1159
113	148	1153
114	149	1148
115	150	1143
116	150	1138
117	151	1133
118	152	1128
119	153	1123
120	154	1120
121	155	1115
122	155	1109
123	156	1105
124	157	1101
125	157	1095
126	158	1091
127	159	1088
128	160	1084
129	161	1080
130	162	1076
131	163	1071
132	163	1066
133	164	1061
134	164	1056
135	165	1053
136	166	1050
137	167	1047
138	168	1044
139	169	1040
140	170	1035
141	170	1030
142	171	1026
143	172	1023
144	172	1020
145	173	1016
146	174	1012
147	175	1010
148	176	1006
149	176	1001
150	177	997
151	178	994
